,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
합계,44357705,2721316,2292159,2743690,3728711,4791513,3518849,3570563,4930746,3106819,5870270,4586859,2496210
지리산,2876031,123780,94401,193943,251160,325285,175577,293663,610064,167490,324991,240263,75414
경주,2742028,149399,139169,137433,237195,278105,253253,231831,285998,231074,303615,368311,126645
계룡산,1325480,85222,66824,92774,131374,145776,98019,97158,103711,93523,168524,145567,97008
한려해상,6784160,408359,388684,483317,750952,799993,576958,531842,826231,341080,567601,536116,573027
오동도,2804082,146956,129419,175923,285955,305886,230495,196749,296615,138057,242323,279531,376173
설악산,3654211,180589,119020,116571,186942,326775,313048,323346,359850,305647,960679,291192,170552
속리산,1223152,38407,37051,46254,76166,128409,123557,139189,179456,88973,199047,127756,38887
한라산,1065921,126047,102381,83485,82328,106732,77620,62925,75036,71826,105059,92293,80189
내장산,1641589,57927,47707,56655,71445,97678,79602,87056,138270,91948,268991,583143,61167
가야산,771724,31221,30347,41092,64516,98071,62165,53747,62128,46598,129602,114705,37532
덕유산,1710143,277221,132569,37931,50207,102618,111954,171872,263567,84426,209144,162317,106317
오대산,1247730,72963,55985,35789,54894,100806,85669,99719,172374,113800,280899,113644,61188
주왕산,1009712,16646,13246,15876,29275,75160,45503,55910,74189,48399,356926,250077,28505
태안해안,1107795,27193,34181,57850,81161,130168,97520,153526,226135,89018,116230,55576,39237
다도해해상,2127725,124241,104942,150031,281928,336081,205227,151364,242317,137368,171667,130729,91830
치악산,662137,35889,36177,34417,32981,67301,62050,54539,70559,59921,112776,64423,31104
월악산,1052118,35613,31563,46162,93584,120184,92011,97896,105492,78431,168537,129222,53423
북한산,6087156,382832,379618,595560,548699,687762,501650,487680,518177,572579,569712,471135,371752
소백산,1288566,97229,62056,49747,94499,241886,123810,56463,72121,63599,208940,122663,95553
월출산,477629,16952,17059,36229,125466,51414,29065,35004,34216,24443,40266,50657,16858
변산반도,1930986,91709,87659,122120,200657,255398,130725,134661,212955,139001,238631,214856,102614
무등산,3571712,341877,311520,310454,283282,315911,273866,251172,297900,257675,368433,322214,237408
태백산,,,,,,,,,,,,,
