,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
합계,43184247,2744646,2486101,3054585,3622224,4445413,3546627,3165294,4435849,2883266,5598142,4648767,2553333
지리산,3005498,116565,110201,206591,203008,316158,217038,329665,553781,192595,340845,303894,115157
경주,2999547,220443,190162,223609,307090,309430,239727,200745,256654,197485,341802,311045,201355
계룡산,1949660,123913,120323,121239,153219,201778,180816,159072,162022,138807,235649,225967,126855
한려해상,6328709,344661,441967,628801,661431,811134,489289,417533,637986,308966,677139,488677,421125
오동도,2908368,161063,195217,300267,257250,262792,224545,187811,290973,148529,375547,245696,258678
설악산,2868098,139796,146091,140293,155977,239961,247682,203811,311521,240659,680818,208268,153221
속리산,1285804,46193,53181,65238,82066,126006,133091,133299,163102,84002,200649,151491,47486
한라산,848279,106485,67555,56537,61130,86216,66357,43012,48793,46518,100123,92982,72571
내장산,1907905,80309,51462,86211,104012,128594,96675,123519,140243,100999,253484,657250,85147
가야산,654682,26081,27644,42109,51088,70436,49082,39830,63820,49789,102849,101945,30009
덕유산,1222691,159139,96039,32975,41478,80763,90932,109527,205336,62733,134923,129535,79311
오대산,1360966,93630,87748,69994,69383,112758,114751,114797,155412,96145,254915,117832,73601
주왕산,1064590,20596,19011,23938,44166,65721,45205,34776,55059,49148,357532,313560,35878
태안해안,1014462,28472,30628,54173,77138,104495,104511,139272,200203,78274,104910,52771,39615
다도해해상,2260407,91829,115834,179500,261211,286722,196497,173226,265920,176577,206223,149905,156963
치악산,759346,42642,48373,49187,52833,68283,67217,57648,78090,48164,126148,76821,43940
월악산,1000518,26655,43260,74447,88222,109504,88300,75106,102908,79220,148493,121772,42631
북한산,5574539,389547,354925,477085,482090,538490,522416,393441,499892,461150,585720,501012,368771
소백산,1158325,73453,60876,54894,81360,181660,117294,52692,72036,53426,202094,125876,82664
월출산,493538,10503,11764,44500,202339,39413,28724,20839,35373,16737,31711,40408,11227
변산반도,1594351,78806,83167,106646,170585,211210,144200,97609,137869,134594,160528,153773,115364
무등산,3155903,281222,260980,295057,251079,310586,261034,201999,214356,242354,312506,302864,221866
태백산,676429,243706,64910,21561,21319,46095,45789,43876,75473,24924,39081,21119,28576
