,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
합계,46931809,2056355,1804851,2984727,3704725,5093451,4255400,3422714,5064787,3565096,6913677,5471082,2594944
지리산,2803999,89485,70457,178735,214843,353997,232784,300992,478853,187696,322140,277914,96103
경주,3147155,137844,130665,208724,278089,402453,379947,221464,230580,251480,359142,382547,164220
계룡산,1597864,76912,82487,151043,142348,164654,145083,84260,132027,122319,222671,184047,90013
한려해상,6712828,298164,320527,670594,674932,884357,657265,512412,763363,445980,631588,411561,442085
오동도,2729925,125176,114254,358931,280871,382623,298941,155966,234100,175802,287928,112325,203008
설악산,3355272,144436,130776,143372,210380,324962,275310,191966,330318,270176,869222,305906,158448
속리산,1241243,43583,40709,61154,90189,124614,108202,122421,182048,93020,218219,120991,36093
한라산,1207661,123558,71900,72193,101604,135758,105521,80365,88995,91364,148960,113726,73717
내장산,1879885,47310,35488,46341,56405,82106,66569,62058,102563,77779,305250,931144,66872
가야산,1219346,34381,43410,63445,73437,101056,71706,70922,108834,72912,369680,173619,35944
덕유산,1740696,225759,112198,53657,49457,104032,132788,170996,279384,91088,191807,180914,148616
오대산,1533709,78396,68186,54944,67051,127780,106788,91187,186064,144288,402657,140058,66310
주왕산,1246386,14473,13456,24999,35468,61825,45879,64761,96531,60972,400019,391641,36362
태안해안,1197426,32580,42020,53615,73186,168354,131237,191194,236504,82748,85865,55763,44360
다도해해상,1504873,59636,49839,130887,181861,196394,141583,111406,198139,129025,152137,98239,55727
치악산,568097,24027,23006,29455,29281,63899,59843,38345,66072,52227,118855,43601,19486
월악산,1082352,18133,22859,42710,63668,99887,117870,123219,141957,93340,169976,138613,50120
북한산,7146161,457576,404784,754219,588936,725989,686259,357748,567643,665064,906553,599542,431848
소백산,1376310,76837,62059,78115,92295,242448,161795,68521,108834,78897,203454,137026,66029
월출산,518845,10791,16436,45282,75613,47436,37724,28900,49412,30321,64078,98934,13918
변산반도,1883204,62474,63589,121243,181018,216752,149259,156546,255196,131667,263116,191609,90735
무등산,3968497,0,0,0,424664,464698,441988,373031,461470,392733,508288,493687,407938
태백산,,,,,,,,,,,,,
