,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
합계,35277568,2838834,1929998,2287680,2784040,3369935,2871509,2837782,3343102,2485821,4981855,3617064,1929948
지리산,2669076,108125,97949,219285,244447,289601,266357,244254,290497,161995,368259,272368,105939
경주,1836948,218612,125539,90889,108938,169057,102363,125473,216540,101663,286797,218382,72695
계룡산,2239068,132635,118942,196881,210117,213445,170179,190488,157622,198959,290896,207126,151778
한려해상,3700609,433637,287066,164797,185321,377067,292133,308512,548634,188715,418237,342082,154408
오동도,1697282,238884,160198,79565,78046,151715,124195,140857,239201,80670,180414,152527,71010
설악산,1947361,140409,98988,83058,85716,152275,182055,164466,199545,92885,489665,174625,83674
속리산,986092,45297,37083,59561,67846,87393,89113,94083,90612,78309,187243,107811,41741
한라산,699117,106122,69796,32263,36656,62340,46585,34120,42069,50057,102872,76314,39923
내장산,1518415,118293,40584,67681,85021,97423,87425,95001,128000,87123,223711,398581,89572
가야산,505459,27244,17618,14102,36265,54243,43266,31427,51319,35350,100397,71866,22362
덕유산,991175,158825,102941,23151,25104,56514,60845,75721,115288,43233,145863,109979,73711
오대산,1178420,100499,80494,55451,69549,98608,96669,109564,124201,69790,210755,101655,61185
주왕산,600672,22937,14698,9971,19912,39777,30581,34127,53222,33460,169071,152604,20312
태안해안,711332,35685,18501,39104,63030,73370,85744,95893,86733,68735,84568,32561,27408
다도해해상,1862664,143035,100617,72133,112531,183583,141796,167329,281687,166144,210057,161582,122170
치악산,870934,46733,45232,67007,76497,84244,87034,82321,71176,74427,121972,64512,49779
월악산,827593,30662,26334,61466,87216,109652,67745,64456,70181,58991,122671,95127,33092
북한산,6561211,412687,401593,675900,714633,631656,578762,560812,367182,571654,733374,477178,435780
소백산,972423,71704,50566,45447,67970,141050,86248,47938,58738,48646,188413,101503,64200
월출산,328155,13130,13066,20933,79857,25619,19479,21829,35572,19954,34753,31294,12669
변산반도,1263499,71182,50014,54150,105036,154208,126992,100932,138872,106516,165104,134306,56187
무등산,2452942,200267,67895,217115,287845,238243,179242,155654,169788,206384,279345,263157,188007
태백산,554403,201114,64482,17335,14533,30567,30896,33382,45624,22831,47832,22451,23356
