,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
합계,43824139,2666298,2225031,2852695,3765746,4481997,3671451,3463245,4306739,3542759,5912373,4563111,2372694
지리산,3308833,112289,109295,211268,244502,318538,248446,377274,627871,213012,418735,320355,107248
경주,2887634,140365,109169,163474,257407,279632,277312,173585,281882,240346,385571,404636,174255
계룡산,1817602,90958,77376,131898,144499,163274,162915,160736,126088,177866,251962,210359,119671
한려해상,6439653,379103,382636,538488,755744,754590,517921,470054,700498,532010,583348,458696,366565
오동도,3000678,191036,165700,215013,295603,323493,241046,224486,346368,313162,269605,228398,186768
설악산,3241484,133583,139624,144465,242434,291265,269610,226610,287962,294642,768976,289019,153294
속리산,1244854,41923,41359,59450,81757,130035,130237,127738,128322,117830,215880,126239,44084
한라산,891817,111558,47237,66335,75197,97910,80542,46292,58267,60985,112280,82279,52935
내장산,1948616,57262,51661,74102,81470,124432,109300,155122,145114,143160,330228,597670,79095
가야산,672901,24912,20751,36096,56898,78981,57861,44026,54011,54993,117996,100053,26323
덕유산,1501306,238488,144717,39573,50546,83902,86573,154349,189640,106818,195327,125487,85886
오대산,1399119,97476,77175,73434,91775,130881,117729,120479,157113,118867,249818,95455,68917
주왕산,1155063,22857,19581,24727,51280,72646,50922,40994,60197,58274,380091,334116,39378
태안해안,1049974,28982,30572,54608,77674,137176,102572,140434,200467,81552,108002,51148,36787
다도해해상,1987762,91557,104015,141907,259874,281616,180127,144512,209878,156172,184392,133246,100466
치악산,738368,33066,37931,34545,48966,71409,76217,82648,74173,68330,112665,61766,36652
월악산,1014793,27743,43661,73634,90275,109843,88182,82210,102291,79637,149461,124268,43588
북한산,5518508,305455,302550,471666,480804,576417,556821,493617,401467,553820,595340,431207,349344
소백산,1193986,79075,62411,47911,84501,200797,119684,52470,67906,62331,208893,118887,89120
월출산,408930,9327,10668,28794,145902,29979,20082,22224,28632,23333,39660,41170,9159
변산반도,1579089,88446,90988,116106,165686,211629,114719,93100,127186,128792,157749,142675,142013
무등산,3143779,308824,253844,299537,259794,294984,252102,198020,211723,240322,311091,295608,217930
태백산,680068,243049,67810,20677,18761,42061,51577,56751,66051,29667,34908,18772,29984
